Codigo foto	Carpeta/Subcarpeta	Camara usada	Fecha	Familia	Genero	Especie	Nombre cientifico	Código/ ID del individuo*	Descripcion o Ubicacion	Quebrada-transecto	Colectores	Metodo de captura	file_name	class_1	conf_1	class_2	conf_2	class_3	conf_3	class_4	conf_4	class_5	conf_5
DSC_1161-DSC_1162	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Otocinclus	hoppei	Otocinclus hoppei	P1-CV2QKATI-33	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1161.JPG	Pyrrhulina	69.26652789115907	Characidium	11.371968686580658	Hemigrammus	10.915116965770721	Moenkhausia	5.5394385010004035	Hyphessobrycon	1.211053505539894
DSC_1161-DSC_1162	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Otocinclus	hoppei	Otocinclus hoppei	P1-CV2QKATI-33	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1162.JPG	Pyrrhulina	68.60624551773071	Pimelodella	6.749366968870162	Moenkhausia	4.0916215628385535	Otocinclus	3.0549081042408943	Phenacogaster	3.0459562316536903
DSC_1163-DSC_1164	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Otocinclus	hoppei	Otocinclus hoppei	P1-CV2QKATI-34	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1163.JPG	Pyrrhulina	90.67976474761964	Hemigrammus	7.208330184221268	Phenacogaster	0.5054133012890816	Bujurquina	0.3012683941051364	Moenkhausia	0.2552367048338056
DSC_1163-DSC_1164	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Otocinclus	hoppei	Otocinclus hoppei	P1-CV2QKATI-34	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1164.JPG	Pyrrhulina	76.33341550827026	Phenacogaster	4.976002126932143	Corydoras	3.4037020057439804	Hyphessobrycon	2.2856904193758965	Astyanax	2.2464316338300705
DSC_1165-DSC_1166	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Otocinclus	macrospilus	Otocinclus macrospilus	P1-CV2QKATI-35	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1165.JPG	Hemigrammus	83.42653512954713	Pyrrhulina	13.31666111946106	Moenkhausia	1.7435437068343165	Characidium	0.87446179240942	Astyanax	0.1919694128446281
DSC_1165-DSC_1166	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Otocinclus	macrospilus	Otocinclus macrospilus	P1-CV2QKATI-35	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1166.JPG	Moenkhausia	29.338514804840088	Characidium	27.730244398117065	Pimelodella	15.926919877529144	Astyanax	13.306431472301485	Pyrrhulina	6.090282276272774
DSC_1167-DSC_1168	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Otocinclus	hoppei	Otocinclus hoppei	P1-CV2QKATI-36	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1167.JPG	Phenacogaster	25.06947219371796	Hyphessobrycon	20.76102793216705	Pyrrhulina	15.000869333744047	Astyanax	13.71804028749466	Characidium	11.431912332773207
DSC_1167-DSC_1168	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Otocinclus	hoppei	Otocinclus hoppei	P1-CV2QKATI-36	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1168.JPG	Pyrrhulina	92.23748445510864	Moenkhausia	1.8704954534769056	Pimelodella	1.718916930258274	Characidium	0.7755864411592484	Tatia	0.6894647143781185
DSC_1169-DSC_1170	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Otocinclus	hoppei	Otocinclus hoppei	P1-CV2QKATI-37	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1169.JPG	Hyphessobrycon	45.30692398548126	Phenacogaster	37.20052838325501	Astyanax	6.994059681892395	Pyrrhulina	6.431933492422104	Characidium	0.9192914701998234
DSC_1169-DSC_1170	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Otocinclus	hoppei	Otocinclus hoppei	P1-CV2QKATI-37	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1170.JPG	Pyrrhulina	61.08527183532715	Corydoras	8.996902406215668	Phenacogaster	6.166427209973335	Tatia	5.12266606092453	Hyphessobrycon	3.95674780011177
